code_commune;annee;prix_m2;surface_reelle_bati;nb_ventes
1001;2024;3248.6855308986037;95.2;29
1002;2024;1941.5584415584417;140.5;26
1004;2024;3199.134741753607;174.4950495049505;817
1005;2024;2745.580839938583;90.34615384615384;145
1006;2024;250.0;40.0;9
1007;2024;2317.926154649571;95.96153846153847;92
1008;2024;2270.8840605805544;98.07692307692308;91
1009;2024;2025.1700460229674;120.45454545454545;59
1010;2024;2486.0522793502587;91.15384615384616;113
1011;2024;2058.332049899892;118.5;42
1012;2024;1028.9027982326952;76.5;31
1013;2024;1912.1031746031747;71.33333333333333;29
1014;2024;5806.49233996965;271.7450980392157;161
1015;2024;2446.497669763866;105.0;47
1016;2024;2269.138033283457;95.5;24
1017;2024;1269.4678266292772;132.65;79
1019;2024;1704.5454545454545;88.0;5
1021;2024;2765.6578478201864;104.72727272727273;34
1022;2024;2227.9679869012766;92.96153846153847;81
1023;2024;2046.6666666666667;135.0;25
1024;2024;2852.7325779409516;124.90384615384616;192
1025;2024;1979.2049769399093;105.1086956521739;179
1026;2024;2270.5701706915283;91.28571428571429;35
1027;2024;4121.67837887082;101.07692307692308;76
1028;2024;2646.820551647308;106.0;29
1029;2024;1519.7301919105394;126.47368421052632;82
1030;2024;2305.00580925888;92.16666666666667;28
1031;2024;1985.0391213173436;323.78;126
1032;2024;3731.8905017927427;88.45;107
1033;2024;3837.8318650699302;244.0594315245478;1249
1034;2024;2680.6446047924596;97.00617283950618;550
1035;2024;;;56
1036;2024;1932.9447080769178;130.0;245
1037;2024;2066.0889546381163;81.0;82
1038;2024;1857.3299198992606;100.61538461538461;53
1040;2024;2518.7525879917184;139.0;32
1041;2024;1657.659002342988;83.07692307692308;37
1042;2024;2509.268550316164;130.0;24
1043;2024;25140.340819937992;141.24137931034483;294
1044;2024;3704.216915014601;120.66666666666667;47
1045;2024;3486.842105263158;76.0;6
1046;2024;2563.6034513431773;120.85714285714286;33
1047;2024;2888.96727370007;272.1764705882353;39
1049;2024;8269.806192659724;101.63414634146342;115
1050;2024;2068.603215586885;111.125;60
1051;2024;1140.318302387268;81.0;11
1052;2024;1378.0914355763246;227.16666666666666;22
1053;2024;3101.037587626792;127.09138381201045;2126
1054;2024;2773.8564873678733;118.27777777777777;60
1056;2024;2152.557543017207;69.0;132
1057;2024;1743.7914952022772;575.8181818181819;68
1058;2024;1623.0751420588101;178.7;79
1060;2024;1282.7414812619634;130.83333333333334;51
1061;2024;4615.956866595863;138.7;48
1062;2024;3083.9645122320135;115.88888888888889;40
1063;2024;2372.657047642592;146.16666666666666;19
1064;2024;2412.671098062565;99.95652173913044;77
1065;2024;2838.4478283282738;113.72;68
1066;2024;1554.8387096774193;62.0;18
1067;2024;1316.5829145728644;199.0;20
1068;2024;1167.440460991134;118.88888888888889;98
1069;2024;2949.5018008377706;100.35714285714286;42
1071;2024;6027.109851704348;94.95180722891567;312
1072;2024;2979.9081440268287;156.78947368421052;168
1073;2024;2907.1785457801175;135.04761904761904;238
1074;2024;5639.053523585767;123.55263157894737;157
1075;2024;2535.7605512346972;339.94736842105266;64
1076;2024;1394.72049689441;92.5;9
1077;2024;1801.2920495693809;114.6;42
1078;2024;4327.852752131365;106.42105263157895;71
1079;2024;1571.8656320737132;152.21428571428572;50
1080;2024;1153.0768365985853;215.53846153846155;76
1081;2024;1569.5144341575842;117.83333333333333;66
1082;2024;3016.267896047308;84.42857142857143;81
1083;2024;2684.3852328227326;105.72727272727273;65
1084;2024;2389.6141157988372;113.5;59
1085;2024;1976.8763511814984;150.83333333333334;35
1087;2024;2311.802483231055;97.71428571428571;46
1088;2024;3334.414889808832;94.42857142857143;28
1089;2024;2319.5031668223533;93.33333333333333;133
1090;2024;2469.1230477273193;122.0;48
1092;2024;3137.5708160660033;115.25806451612904;145
1093;2024;5209.8171731528355;135.93827160493828;223
1094;2024;1708.4929309635647;106.72727272727273;75
1095;2024;2066.8657651668723;91.71428571428571;57
1096;2024;2544.670851222703;100.66666666666667;32
1098;2024;2178.33136260619;133.45454545454547;108
1099;2024;2361.6342418773843;119.71428571428571;48
1100;2024;;;99
1101;2024;666.6666666666666;180.0;5
1102;2024;2312.0101778656126;100.0;42
1103;2024;4913.295854786715;108.96774193548387;118
1104;2024;2199.409581785052;72.6;254
1105;2024;3271.806032352735;443.6296296296296;83
1106;2024;1803.6574914297237;67.0;54
1107;2024;1312.5;112.0;4
1108;2024;1876.5546935422367;85.45161290322581;98
1109;2024;3724.9662727974132;99.29545454545455;142
1110;2024;1275.4629629629628;154.33333333333334;20
1111;2024;1692.3076923076924;130.0;35
1112;2024;2183.7121212121215;84.66666666666667;17
1113;2024;2616.847789005566;107.0;53
1114;2024;3611.6052871950405;97.5;17
1115;2024;1351.8740942919785;228.88888888888889;80
1116;2024;1738.8814562213195;107.88888888888889;85
1117;2024;1141.5929203539822;113.0;40
1118;2024;3264.2644019644727;144.26923076923077;133
1123;2024;2031.0439534532368;124.9;63
1124;2024;2381.820826798042;97.0;69
1125;2024;1787.408542935767;121.0909090909091;49
1127;2024;1505.9739236626895;118.66666666666667;20
1128;2024;1405.8263322699186;116.0;25
1129;2024;1904.6649345785643;127.66666666666667;22
1130;2024;2040.4509470213384;156.07142857142858;84
1133;2024;1289.4144144144143;152.5;33
1134;2024;1698.7275390263562;775.7857142857143;104
1135;2024;6840.371319537986;121.84375;163
1136;2024;2029.3444544615897;151.0;85
1138;2024;2022.1844313651347;159.06976744186048;166
1139;2024;1056.2400132649304;458.375;87
1140;2024;3474.9305654963773;113.0;141
1141;2024;1828.0159845667813;187.27272727272728;68
1142;2024;6925.7248170705325;96.5;161
1143;2024;6528.633298069405;97.13389121338912;747
1145;2024;2346.276844149728;152.63636363636363;103
