code_commune;annee;prix_m2;surface_reelle_bati;nb_ventes
1001;2025;2890.6390614216702;90.4;19
1002;2025;1016.3586514524403;208.33333333333334;46
1004;2025;3692.215133332293;102.20238095238095;273
1005;2025;2815.956122362503;96.57142857142857;18
1006;2025;1970.6937799043062;131.5;8
1007;2025;2663.2583256523244;157.5909090909091;82
1008;2025;1886.2594169669178;135.5;3
1009;2025;2477.8761061946902;113.0;21
1010;2025;2526.8386797140893;85.16666666666667;73
1012;2025;1462.5;80.0;13
1013;2025;894.2307692307693;104.0;5
1014;2025;2697.4645662847524;158.33333333333334;62
1015;2025;1230.0;100.0;62
1016;2025;;;4
1017;2025;760.0;75.0;3
1019;2025;1396.8253968253969;126.0;4
1021;2025;2872.440972483527;123.42857142857143;38
1022;2025;2338.4614820742045;97.33333333333333;27
1023;2025;;;15
1024;2025;2079.4114909564255;98.5;81
1025;2025;1972.2356938103771;109.5625;76
1026;2025;2311.4429567870393;84.66666666666667;33
1027;2025;3016.2805969944984;117.875;34
1028;2025;3105.2631578947367;95.0;12
1029;2025;1950.5494505494505;84.0;5
1030;2025;1811.680104180631;79.66666666666667;6
1031;2025;13813.525456300438;59.282051282051285;73
1032;2025;2004.1030654676415;300.57142857142856;45
1033;2025;4305.611324828211;82.09022556390977;436
1034;2025;2053.817192358067;92.67391304347827;164
1035;2025;2953.21189422313;117.0;29
1036;2025;2147.454953601185;95.0;66
1037;2025;764.7058823529412;170.0;31
1038;2025;1914.640006385696;89.33333333333333;27
1040;2025;1560.3033142083389;117.44444444444444;24
1041;2025;1816.3607122570395;85.57142857142857;35
1043;2025;3604.2420150604094;123.07142857142857;92
1044;2025;3005.2930228103774;85.6;22
1045;2025;1893.114311431143;105.5;9
1046;2025;1815.640270902033;178.4;13
1047;2025;2865.006873239617;93.57142857142857;12
1049;2025;3167.879658691145;100.1;50
1050;2025;2269.3670212765956;97.0;26
1051;2025;;;1
1052;2025;3838.3838383838383;99.0;3
1053;2025;2806.305016702119;77.74048442906575;780
1054;2025;2952.5137299763883;100.8;19
1056;2025;1903.225806451613;155.0;214
1057;2025;3163.9335303460452;92.0;23
1058;2025;705.7575757575758;130.0;13
1060;2025;1238.7330696392185;110.33333333333333;9
1061;2025;2438.972652675012;120.0;12
1062;2025;;;1
1063;2025;2029.6296296296296;137.5;10
1064;2025;2069.584811698306;81.66666666666667;30
1065;2025;2661.1270366615377;123.33333333333333;36
1066;2025;1827.8655424177812;107.33333333333333;15
1067;2025;;;3
1068;2025;645.4623729383792;106.33333333333333;26
1069;2025;2458.823529411765;85.0;7
1071;2025;5195.22773247565;91.5925925925926;99
1072;2025;2726.499652089386;116.73076923076923;83
1073;2025;2520.688865518549;84.0;42
1074;2025;3267.76424968621;115.21428571428571;89
1075;2025;2357.514364035235;92.4;20
1076;2025;1624.5833333333333;120.0;4
1077;2025;1574.527027027027;74.0;6
