code_commune;annee;prix_m2;surface_reelle_bati;nb_ventes
1001;2023;3220.607801380492;110.6;42
1002;2023;1889.4839012285904;86.25;18
1004;2023;3551.712606032826;115.1444866920152;878
1005;2023;9267.543073365046;119.18181818181819;136
1006;2023;;;20
1007;2023;2200.119067562137;105.02272727272727;159
1008;2023;2538.6536312137587;72.4;45
1009;2023;1975.8550085064358;121.75;61
1010;2023;2558.575101555638;79.79411764705883;178
1011;2023;2309.019684019684;85.66666666666667;23
1012;2023;1833.715984986477;89.33333333333333;54
1013;2023;799.3820133355017;81.66666666666667;12
1014;2023;1753.3137106374459;155.85;154
1015;2023;1593.6775673966113;100.16666666666667;70
1016;2023;2292.6687855282685;88.5;63
1017;2023;1426.3810477427403;91.73333333333333;47
1019;2023;;;2
1021;2023;3204.0743959872775;141.08333333333334;25
1022;2023;1947.572887480104;101.08333333333333;63
1023;2023;1845.2380952380952;84.0;13
1024;2023;2573.5634859433094;106.77358490566037;141
1025;2023;2306.064143093953;112.45098039215686;370
1026;2023;2890.8372887878663;80.41666666666667;47
1027;2023;2744.1735674247916;125.92857142857143;56
1028;2023;3001.0852713708255;98.0;22
1029;2023;1509.4591640194217;99.18181818181819;39
1030;2023;2286.9653324035617;87.55555555555556;18
1031;2023;1562.4116919016349;191.27272727272728;124
1032;2023;2921.9391597163185;208.0952380952381;118
1033;2023;3280.2678857018113;95.95652173913044;1091
1034;2023;2674.8155326773817;110.83582089552239;700
1035;2023;2610.902925244991;82.75;45
1036;2023;2232.220170623238;111.42857142857143;105
1037;2023;2593.4244198655388;62.4;46
1038;2023;1548.2174351221972;101.0;43
1039;2023;1615.6400966183573;68.5;14
1040;2023;1587.7559637902568;110.25;59
1041;2023;9830.835936041683;83.24;74
1042;2023;3273.0263157894733;83.66666666666667;32
1043;2023;36441.97595499746;127.82727272727273;361
1044;2023;2370.1210896343114;109.4;20
1045;2023;1219.3728645269143;111.71428571428571;33
1046;2023;2223.4163073302116;137.65;102
1047;2023;2780.156402084998;192.73684210526315;63
1049;2023;3254.823295856721;97.85;125
1050;2023;1810.1197859853964;112.7;23
1051;2023;1126.7605633802816;71.0;6
1052;2023;1885.144927536232;109.0;20
1053;2023;3431.25756561828;137.186626746507;2460
1054;2023;2833.0292295944073;110.5625;79
1056;2023;876.8207989649038;1010.2;144
1057;2023;2281.486964051676;110.71428571428571;53
1058;2023;2026.5304765094504;117.26666666666667;89
1060;2023;454.8821548821549;95.0;26
1061;2023;2420.600529070005;131.78947368421052;80
1062;2023;5568.2483894098805;102.07692307692308;62
1063;2023;1378.9750177879675;216.66666666666666;24
1064;2023;2073.970174369081;93.0;69
1065;2023;5084.316086879838;102.46666666666667;105
1066;2023;1273.587265847328;66.33333333333333;47
1067;2023;2280.095385804047;101.5;13
1068;2023;835.7361625861035;85.5;42
1069;2023;2498.089655688843;115.91304347826087;76
1071;2023;5703.176052968667;100.45161290322581;464
1072;2023;2593.410033911306;131.80357142857142;261
1073;2023;2619.334899194121;92.94444444444444;98
1074;2023;2731.0113277149676;99.43478260869566;74
1075;2023;4852.805787490037;102.38461538461539;64
1076;2023;1431.789891071899;57.25;19
1077;2023;1658.8193491076477;81.0;9
1078;2023;5451.5569147488095;124.04347826086956;87
1079;2023;2412.6442186182044;97.66666666666667;38
1080;2023;2224.0026821994034;92.66666666666667;64
1081;2023;2079.704770074532;104.75;66
1082;2023;1859.1282558884348;95.33333333333333;134
1083;2023;3083.596307688311;129.29032258064515;80
1084;2023;2814.844545499033;98.91666666666667;61
1085;2023;2354.0795712224285;119.0;11
1087;2023;1478.526485220954;92.5;37
1088;2023;3233.783597247293;106.8125;53
1089;2023;3158.877000616363;226.2258064516129;108
1090;2023;2287.182524831709;144.625;58
1092;2023;2347.2983781883386;102.89473684210526;193
1093;2023;2820.9532249633144;111.79347826086956;262
1094;2023;1918.128557551097;113.6470588235294;114
1095;2023;1303.613091580101;126.3076923076923;177
1096;2023;2529.126376910387;112.4;73
1098;2023;2045.043035975172;129.46666666666667;86
1099;2023;3179.5626704991146;86.88235294117646;109
1100;2023;1358.599290780142;59.5;73
1101;2023;2540.9836065573772;122.0;10
1102;2023;2151.1382307236304;94.46153846153847;79
1103;2023;4650.051097012982;117.05882352941177;176
1104;2023;7093.929768431118;74.29166666666667;133
1105;2023;3592.4625361024923;115.33333333333333;86
1106;2023;2495.7264957264956;90.5;4
1107;2023;1190.677966101695;160.5;68
1108;2023;1757.67349813088;109.97142857142858;127
