code_commune;annee;prix_m2;surface_reelle_bati;nb_ventes
1001;2020;1508.3519376305098;132.85714285714286;15
1002;2020;2022.9088345864661;47.0;10
1004;2020;2530.613621523985;91.92613636363636;433
1005;2020;3277.989223233269;105.47826086956522;57
1006;2020;2326.979166666667;110.0;12
1007;2020;2087.122525941186;102.0;39
1008;2020;1895.9414344395836;88.0;12
1009;2020;1172.3463458624572;193.75;43
1010;2020;1657.5789902218544;104.875;36
1011;2020;;;18
1012;2020;5855.102325211022;76.0;21
1013;2020;1275.4416691703311;95.66666666666667;12
1014;2020;2548.2523649689438;98.23809523809524;56
1015;2020;1976.3195217933126;97.11111111111111;84
1016;2020;1112.1637426900586;147.33333333333334;10
1017;2020;1143.242645204592;88.5;25
1021;2020;2794.5912190318736;111.04545454545455;40
1022;2020;1175.2520359769233;96.55555555555556;17
1023;2020;;;15
1024;2020;7092.125955834299;433.28;66
1025;2020;2021.0932212970579;126.26530612244898;132
1026;2020;1918.1470007228354;124.27272727272727;23
1027;2020;2770.275713888513;114.42857142857143;38
1028;2020;1659.6995539668471;130.25;13
1029;2020;1710.851202993242;117.88888888888889;30
1030;2020;3718.5074782714287;108.88;45
1031;2020;2249.953592564348;352.0;94
1032;2020;2658.6069267595863;134.59259259259258;62
1033;2020;3029.1323538560578;91.68599033816425;481
1034;2020;2537.270793706248;86.83544303797468;293
1035;2020;1250.0;60.0;15
1036;2020;2823.935729868866;102.88;104
1037;2020;1110.0;71.0;18
1038;2020;2336.001175427497;125.14285714285714;30
1039;2020;2046.872743445324;78.33333333333333;223
1040;2020;1935.4368932038835;103.0;14
1041;2020;1684.3778767528768;95.85714285714286;15
1042;2020;2057.54481684313;122.0;22
1043;2020;4724.055301393607;328.2;231
1044;2020;4754.699113374835;102.33333333333333;14
1045;2020;;;6
1046;2020;2047.832329385845;126.41176470588235;58
1047;2020;2406.505763948808;121.66666666666667;43
1049;2020;3062.2857828336996;114.26666666666667;76
1050;2020;1459.2302290499886;94.71428571428571;12
1051;2020;2596.3636363636365;79.2;9
1052;2020;;;8
1053;2020;4296.1331524469715;180.4189189189189;879
1054;2020;2984.563649177766;84.44444444444444;48
1056;2020;690.8263090676884;89.33333333333333;10
1057;2020;2161.280128842634;104.25;30
1058;2020;1955.6012352859368;88.33333333333333;33
1060;2020;737.9313950019423;191.75;19
1061;2020;2173.7056274819747;122.08333333333333;48
1062;2020;2846.3732873774115;119.66666666666667;13
1063;2020;2780.0496917867413;82.14285714285714;25
1064;2020;1869.6027320791245;82.3125;40
1065;2020;1779.8727368458842;172.25;27
1066;2020;1148.2206518971227;97.75;16
1068;2020;1413.496863662203;95.5;37
1069;2020;2745.2348901865894;108.83333333333333;17
1071;2020;41034.85248808959;101.45081967213115;282
1072;2020;2333.0464924419875;224.0952380952381;105
1073;2020;3176.7189670841176;123.46153846153847;46
1074;2020;2637.0828506652324;93.44;42
1075;2020;2303.241718635527;115.875;33
1076;2020;1315.2173913043478;92.0;20
1077;2020;2074.7437092264677;75.2;27
1078;2020;4254.730334892056;90.38461538461539;36
1079;2020;1529.9108726650957;133.375;41
1080;2020;1655.3387902647344;93.33333333333333;22
1081;2020;2035.5540498931266;94.5;26
1082;2020;1878.6626520112966;88.0;52
1083;2020;5366.384771591338;110.41176470588235;56
1084;2020;2022.517927729053;88.71428571428571;21
1085;2020;2134.617025471805;118.57142857142857;22
1087;2020;714.2857142857143;70.0;4
1088;2020;3529.561671763507;92.66666666666667;17
1089;2020;2056.849224622277;117.77777777777777;72
1090;2020;3012.5433352540094;100.8;38
1092;2020;1831.7067634114262;155.4;85
1093;2020;2326.183523485024;117.21818181818182;135
1094;2020;2748.806108196694;103.625;34
1095;2020;754.1868807273172;125.0;38
1096;2020;1199.9587590759077;123.2;52
1098;2020;2005.3119101806276;215.14285714285714;30
1099;2020;2706.6752315963627;159.875;52
1100;2020;861.1111111111111;107.5;34
1101;2020;568.6274509803922;102.0;4
1102;2020;1734.824898359496;235.54545454545453;34
1103;2020;4399.199111256185;89.23529411764706;37
1104;2020;3253.678120963229;89.6;44
1105;2020;5207.866324623941;108.28;59
1106;2020;1231.0445793475594;133.66666666666666;9
1107;2020;979.8333333333334;60.0;10
1108;2020;1442.0931097799244;112.6470588235294;46
1109;2020;4345.025983841303;88.51612903225806;101
1110;2020;1041.0377358490566;156.0;88
1111;2020;1477.1414922442386;116.5;21
1112;2020;862.0614055502749;486.0;27
1113;2020;1984.6277719903142;128.25;25
1114;2020;;;26
1115;2020;2518.271603178474;90.18181818181819;19
1116;2020;1524.9252793965993;102.75;6
1117;2020;;;6
1118;2020;2368.606249278474;83.33333333333333;69
1121;2020;;;1
1123;2020;2006.5314945259422;114.75;45
1124;2020;1250.794842168;107.9090909090909;30
1125;2020;1345.521865960164;93.5;87
1127;2020;1895.535165492098;109.71428571428571;43
1128;2020;1342.9669688478987;147.0;20
1129;2020;2499.6011168727564;112.0;16
1130;2020;1762.5624138164758;121.52631578947368;104
1133;2020;2534.0086061128454;115.0;32
1134;2020;1953.5081183922418;113.12903225806451;52
1135;2020;4500.920059222906;109.94871794871794;119
1136;2020;1918.1353871962924;132.0;61
1138;2020;1692.7715028297114;95.23684210526316;102
1139;2020;974.0351696234048;83.5;19
1140;2020;1823.0720957965134;143.0;23
1141;2020;1821.1773561336634;121.5;31
1142;2020;3137.1409588330803;148.88571428571427;98
1143;2020;91349.14281348417;98.7554347826087;430
1145;2020;1961.1967814466661;99.81818181818181;30
1146;2020;;;2
1147;2020;1373.587632808872;78.38461538461539;31
1148;2020;1740.6359786997346;127.18181818181819;39
1149;2020;2023.6742336773912;108.33333333333333;35
1150;2020;1015.625;64.0;34
1151;2020;1891.9216182313928;97.55555555555556;28
