code_commune;annee;prix_m2;surface_reelle_bati;nb_ventes
1001;2022;2930.586506632071;131.46666666666667;43
1002;2022;2575.6038755412387;135.33333333333334;24
1004;2022;3452.2192006411206;234.21383647798743;1028
1005;2022;11225.915648889944;99.39393939393939;151
1006;2022;1421.0526315789473;95.0;15
1007;2022;2226.149509957465;144.06;224
1008;2022;2508.951108714781;105.14285714285714;15
1009;2022;2382.3780430010697;110.28571428571429;58
1010;2022;2003.5255936150927;139.08333333333334;95
1011;2022;3362.3883857578544;65.11111111111111;61
1012;2022;2345.5320399764846;75.0;36
1013;2022;1528.3598656629067;83.42857142857143;35
1014;2022;6702.812424029952;244.3404255319149;192
1015;2022;2050.3214376629603;108.15384615384616;123
1016;2022;1253.2780701754386;101.2;79
1017;2022;1118.853396981627;99.22222222222223;167
1019;2022;;;6
1021;2022;3333.2762680464016;95.05;72
1022;2022;1413.119930444973;136.0;72
1023;2022;1050.7768835233624;75.25;22
1024;2022;6181.614554466245;289.7164179104478;258
1025;2022;3476.1090600539005;1204.8867924528302;408
1026;2022;3300.6117205593428;72.9090909090909;54
1027;2022;3320.1072317988746;103.3076923076923;71
1028;2022;3670.8612290002607;87.16666666666667;61
1029;2022;1988.5065895903053;513.8;46
1030;2022;2573.9967424278775;83.7;71
1031;2022;2159.4302819096174;74.95238095238095;116
1032;2022;11401.521224851207;79.26086956521739;229
1033;2022;19872.914476137496;86.42298850574713;1138
1034;2022;4440.804791210634;97.76811594202898;747
1035;2022;2464.968895744155;65.28571428571429;32
1036;2022;2104.789780035351;105.16129032258064;212
1037;2022;1694.7740535238486;94.14285714285714;59
1038;2022;2048.808861663312;112.52631578947368;108
1039;2022;2706.108815843914;102.35;125
1040;2022;2823.575487646245;85.75;84
1041;2022;2217.734327558026;84.46153846153847;60
1042;2022;2172.5479451383067;125.0;24
1043;2022;3682.6621990862336;153.2962962962963;494
1044;2022;2588.5124383349676;115.375;62
1045;2022;2621.9297007340488;161.0;20
1046;2022;2200.7258678745275;112.68181818181819;102
1047;2022;3729.660743054847;110.47058823529412;68
1049;2022;3951.547363990922;145.19565217391303;209
1050;2022;1799.1666666666667;197.0;33
1051;2022;1380.5657305657305;65.16666666666667;77
1052;2022;2062.5;80.0;3
1053;2022;7227.463370038908;104.73598700243704;2985
1054;2022;3284.272471420737;116.45;124
1056;2022;1104.2681277056276;108.66666666666667;40
1057;2022;2210.4059633971547;106.0;63
1058;2022;1850.283709775293;102.45454545454545;150
1060;2022;2511.4279000753563;96.6;71
1061;2022;2606.970635120823;112.03448275862068;81
1062;2022;2876.5051756424446;124.0;41
1063;2022;2392.578398847662;97.5;15
1064;2022;2519.9872698757654;87.91304347826087;146
1065;2022;9042.056296942555;102.17391304347827;53
1066;2022;1638.2002083129903;73.14285714285714;34
1067;2022;1860.4651162790697;129.0;23
1068;2022;2023.3865866390654;93.95652173913044;125
1069;2022;4502.706984099562;211.14814814814815;67
1071;2022;16277.018398184147;101.73958333333333;597
1072;2022;2351.7978537519366;201.33333333333334;229
1073;2022;1714.8263143001989;119.4090909090909;156
1074;2022;2991.882902880641;94.27083333333333;113
1075;2022;3290.829522349523;133.75;100
1076;2022;1142.0776357489801;80.77777777777777;99
1077;2022;1764.085907744393;103.25;19
1078;2022;4454.071312602168;112.29629629629629;105
1079;2022;1682.5053374176182;89.22222222222223;56
1080;2022;2092.6300508571167;95.16666666666667;51
1081;2022;2261.5688125977217;107.25;104
1082;2022;2371.4453920735823;101.5;116
1083;2022;2565.694243814603;502.85714285714283;60
1084;2022;1792.5754443699464;104.45454545454545;68
1085;2022;2565.505050505051;137.66666666666666;15
1087;2022;2337.9993171730966;78.75;19
1088;2022;3386.3336621424946;118.05555555555556;74
1089;2022;3557.904130963686;125.0;142
1090;2022;2767.8479853479853;176.66666666666666;20
1092;2022;2777.4359692943185;108.8695652173913;176
1093;2022;10918.345478468407;128.29365079365078;295
1094;2022;1914.7288461127912;122.0625;111
1095;2022;1514.886665854562;115.72222222222223;127
1096;2022;3042.357805718062;140.0;78
1098;2022;2235.0557725138306;119.85185185185185;99
1099;2022;3398.5784260399273;97.07142857142857;47
1100;2022;2025.754615031606;83.5;32
1101;2022;2126.865671641791;134.0;12
1102;2022;1460.0418431581636;137.94117647058823;69
1103;2022;4919.21411445412;102.33962264150944;169
1104;2022;1443.3757228653928;74.57142857142857;114
1105;2022;3411.1395372389843;106.23255813953489;105
1106;2022;765.7657657657658;111.0;20
1107;2022;2060.8333333333335;77.5;13
1108;2022;1696.520232950623;101.41176470588235;166
1109;2022;4056.6162021429045;92.14634146341463;250
1110;2022;1659.5652173913045;96.0;15
1111;2022;1295.24316882388;96.66666666666667;25
1112;2022;2263.241071993116;108.88888888888889;49
1113;2022;2206.370906357892;120.77777777777777;88
1114;2022;2457.1645368520367;116.0;28
1115;2022;8734.484687139473;110.3;186
1116;2022;2029.819088677177;125.8125;93
1117;2022;4284.640522875818;117.2;19
1118;2022;3070.0064184010607;122.72222222222223;466
1121;2022;972.0425483666829;82.0;22
1123;2022;1599.9639246288423;163.23076923076923;104
1124;2022;2004.6759651397913;97.88;59
1125;2022;2585.37645896099;78.30434782608695;119
1127;2022;2052.8423775791643;83.8;70
1128;2022;1842.0015896222037;101.75;87
1129;2022;3252.4563989191847;121.66666666666667;29
1130;2022;1849.0565352275237;105.05714285714286;177
1133;2022;2036.8267072911035;149.375;52
1134;2022;29735.08973135515;73.27272727272727;114
1135;2022;7629.142561960178;147.775;137
1136;2022;2852.9494857534332;104.4;74
1138;2022;3109.400682523095;90.96296296296296;208
1139;2022;1742.7863534436965;89.77777777777777;86
1140;2022;2118.039301867575;141.96153846153845;91
1141;2022;2316.182418600298;120.5;143
1142;2022;13375.61986447203;131.6697247706422;214
1143;2022;8084.568473204029;96.71818181818182;983
1145;2022;2785.5134929800465;90.93333333333334;99
1146;2022;2886.4004251324354;127.0;47
1147;2022;1655.5143268629351;118.875;52
1148;2022;2206.8831668478338;88.1875;70
1149;2022;2036.8708299615753;98.28571428571429;161
1150;2022;2467.672203765227;102.8;113
1151;2022;2288.7383676487625;112.35;103
1152;2022;2359.2952772517933;114.44444444444444;179
1153;2022;6366.933660972169;97.64285714285714;222
1155;2022;1420.7050255830743;95.2;39
1156;2022;3403.1276699247646;128.52941176470588;66
1157;2022;2926.1737034688117;152.76470588235293;121
1158;2022;3707.8966001419426;120.94444444444444;81
1159;2022;2846.7811990527757;105.66666666666667;306
1160;2022;19055.334991198342;75.5741127348643;1177
1162;2022;;;8
1163;2022;2049.107027484373;113.05714285714286;151
1165;2022;3972.1006687584845;108.5;93
